 rod_temps    0.0000000000000000     
 Rod ,           1
Temperature ,  572.086984  572.080124  572.059793  572.011248  571.901585  571.664377  571.175417  570.221088  568.467164  565.483103  556.756112  555.273015 
Temperature ,  572.086984  572.080125  572.059795  572.011255  571.901607  571.664448  571.175643  570.221779  568.469187  565.488684  556.775741  555.301844 
Temperature ,  572.086985  572.080125  572.059796  572.011258  571.901618  571.664483  571.175760  570.222157  568.470367  565.492160  556.788805  555.321880 
Temperature ,  572.086985  572.080125  572.059797  572.011259  571.901622  571.664499  571.175815  570.222349  568.471005  565.494176  556.796915  555.334923 
Temperature ,  572.086985  572.080125  572.059797  572.011260  571.901624  571.664505  571.175839  570.222438  568.471322  565.495252  556.801560  555.342786 
Temperature ,  572.086985  572.080125  572.059797  572.011260  571.901624  571.664508  571.175849  570.222474  568.471464  565.495772  556.803981  555.347120 
Temperature ,  572.086985  572.080125  572.059797  572.011260  571.901624  571.664508  571.175851  570.222487  568.471518  565.495994  556.805107  555.349265 
Temperature ,  572.086985  572.080125  572.059797  572.011260  571.901624  571.664508  571.175851  570.222489  568.471534  565.496072  556.805556  555.350192 
Temperature ,  572.086985  572.080125  572.059797  572.011260  571.901624  571.664508  571.175851  570.222488  568.471535  565.496089  556.805694  555.350518 
Temperature ,  572.086985  572.080125  572.059797  572.011260  571.901624  571.664507  571.175850  570.222486  568.471530  565.496083  556.805705  555.350585 
Temperature ,  572.086985  572.080125  572.059797  572.011260  571.901624  571.664507  571.175849  570.222483  568.471523  565.496069  556.805672  555.350558 
Temperature ,  572.086985  572.080125  572.059797  572.011260  571.901624  571.664506  571.175847  570.222480  568.471517  565.496053  556.805627  555.350501 
Temperature ,  572.086985  572.080125  572.059797  572.011260  571.901623  571.664506  571.175846  570.222477  568.471510  565.496037  556.805578  555.350436 
Temperature ,  572.086985  572.080125  572.059797  572.011260  571.901623  571.664506  571.175845  570.222474  568.471503  565.496020  556.805529  555.350370 
Temperature ,  572.086985  572.080125  572.059797  572.011259  571.901623  571.664505  571.175844  570.222471  568.471495  565.496004  556.805480  555.350304 
Temperature ,  572.086985  572.080125  572.059797  572.011259  571.901623  571.664505  571.175843  570.222469  568.471488  565.495988  556.805431  555.350238 
Temperature ,  572.086985  572.080125  572.059797  572.011259  571.901623  571.664504  571.175842  570.222466  568.471481  565.495971  556.805382  555.350171 
Temperature ,  572.086985  572.080125  572.059797  572.011259  571.901623  571.664504  571.175842  570.222466  568.471482  565.495972  556.805384  555.350173 
 
 rod_temps   0.52000000000000013     
 Rod ,           1
 radial pos , 0.0    1.0002449840240703E-003   2.2366157784310127E-003   3.6064345779244448E-003   5.0012249201203526E-003   6.4046929005751570E-003   7.8121630623012531E-003   9.2218030983941320E-003   1.0632750028632310E-002   1.2044544577088435E-002   1.3438320209973752E-002   1.3713910761154854E-002   1.5583989501312335E-002
 axial pos ,   0.0000000000000000       0.30003280839895013       0.90009842519685046        1.5001640419947506        2.1002296587926512        2.7002952755905509        3.3003608923884515        3.9004265091863513        4.5004921259842519        5.1005577427821525        5.7006233595800531        6.3006889763779537        6.9007545931758543        7.5008202099737549        8.1008858267716555        8.7009514435695543        9.3010170603674567        9.9010826771653555        10.501148293963258        11.101213910761157        11.701279527559059        12.001312335958009     
Temperature ,  576.371010  576.354635  576.309062  576.209530  576.005494  575.604870  574.851949  573.502526  571.203475  567.535886  557.149081  555.282610 
Temperature ,  576.371053  576.354702  576.309204  576.209858  576.006263  575.606647  574.855942  573.511148  571.221231  567.570310  557.234216  555.387444 
Temperature ,  576.371077  576.354741  576.309290  576.210065  576.006769  575.607868  574.858802  573.517595  571.235091  567.598343  557.306649  555.478223 
Temperature ,  576.371090  576.354764  576.309341  576.210193  576.007095  575.608687  574.860806  573.522316  571.245709  567.620792  557.367356  555.555827 
Temperature ,  576.371097  576.354776  576.309370  576.210268  576.007296  575.609215  574.862159  573.525656  571.253581  567.638248  557.416907  555.620629 
Temperature ,  576.371100  576.354782  576.309386  576.210311  576.007415  575.609542  574.863036  573.527926  571.259206  567.651368  557.456111  555.673249 
Temperature ,  576.371102  576.354785  576.309394  576.210334  576.007481  575.609734  574.863578  573.529403  571.263061  567.660852  557.486017  555.714587 
Temperature ,  576.371103  576.354787  576.309398  576.210346  576.007517  575.609842  574.863897  573.530317  571.265580  567.667408  557.507886  555.745823 
Temperature ,  576.371103  576.354787  576.309399  576.210351  576.007535  575.609899  574.864074  573.530853  571.267141  567.671714  557.523117  555.768380 
Temperature ,  576.371103  576.354787  576.309400  576.210354  576.007543  575.609927  574.864165  573.531147  571.268052  567.674384  557.533149  555.783836 
Temperature ,  576.371103  576.354787  576.309400  576.210355  576.007546  575.609939  574.864209  573.531297  571.268547  567.675933  557.539346  555.793804 
Temperature ,  576.371103  576.354787  576.309400  576.210355  576.007548  575.609944  574.864228  573.531367  571.268793  567.676764  557.542902  555.799797 
Temperature ,  576.371103  576.354787  576.309400  576.210355  576.007548  575.609945  574.864234  573.531394  571.268903  567.677169  557.544772  555.803117 
Temperature ,  576.371103  576.354787  576.309400  576.210355  576.007547  575.609945  574.864235  573.531402  571.268943  567.677340  557.545652  555.804780 
Temperature ,  576.371103  576.354787  576.309400  576.210354  576.007547  575.609944  574.864233  573.531400  571.268950  567.677395  557.546001  555.805506 
Temperature ,  576.371103  576.354787  576.309400  576.210354  576.007547  575.609943  574.864231  573.531396  571.268943  567.677398  557.546094  555.805754 
Temperature ,  576.371103  576.354787  576.309400  576.210354  576.007546  575.609941  574.864228  573.531390  571.268932  567.677379  557.546076  555.805783 
Temperature ,  576.371103  576.354787  576.309400  576.210354  576.007546  575.609940  574.864225  573.531383  571.268918  567.677352  557.546015  555.805724 
Temperature ,  576.371103  576.354787  576.309400  576.210354  576.007545  575.609939  574.864222  573.531377  571.268904  567.677323  557.545940  555.805633 
Temperature ,  576.371103  576.354787  576.309400  576.210353  576.007544  575.609938  574.864219  573.531370  571.268889  567.677293  557.545861  555.805533 
Temperature ,  576.371103  576.354787  576.309400  576.210353  576.007544  575.609936  574.864216  573.531363  571.268875  567.677264  557.545782  555.805431 
Temperature ,  576.371103  576.354787  576.309400  576.210353  576.007544  575.609936  574.864217  573.531364  571.268875  567.677264  557.545784  555.805433 
 
